id,year,assets,debt,earnings,cashflow,sales,mv,ad,rd,fv,mkt,sector
2,1991,34.15,12.901,6.133,-4.76,40.661,93.641594,.84799999,1.942,2.556972,13.551,1
2,1992,100.19,73.684,5.239,5.642,54.998,63.70023,.88,2.4690001,1.1251545,20.593,1
2,1993,89.988,73.488,13.044,7.724,69.56,49.590862,1.168,4.7909999,1.165176,26.938999,1
2,1994,89.77800000000001,72.782,13.605,6.72,68.09699999999999,53.476501,1.503,4.783,1.1903083,24.464001,1
3,1990,6.13,1.79,.796,.805,7.388,1.7528158,.0089999996,.206,.5363484,1.6109999,1
3,1991,5.644,1.366,-.018,-.051,5.123,15.977571,.013,.23,3.0344739,1.323,1
4,1991,42.136,3.065,8.478,8.574999999999999,48.705,41.047493,.48800001,5.2690001,.38445729,6.7709999,1
4,1992,43.326,4.269,3.658,2.876,39.709,28.097992,.54900002,5.9679999,.28807166,7.0479999,1
4,1993,49.047,4.058,4.308,-1.993,60.791,44.395496,.76200002,6.1069999,.57713002,12.212,1
4,1994,51.232,3.419,4.729,.8120000000000001,65.07299999999999,40.741745,.935,7.5050001,.44233575,13.165,1
5,2005,305.924,0,64.286,52.644,457.112,528.06079,1.617,.574,1.3948883,112.607,1
5,2006,340.808,0,70.51300000000001,54.965,514.831,574.3548,1.589,.55800003,1.3532541,124.015,1
5,2007,380.288,.474,73.62,57.843,568.901,651.20361,4.0840001,.52899998,1.4486774,134.71899,1
5,2008,408.408,.381,70.217,54.897,629.359,635.74469,1.666,.57099998,1.2857723,141.334,1
5,2009,439.827,.285,94.10899999999999,80.633,653.047,800.13794,2.267,.76099998,1.4937485,138.87801,1
5,2010,483.994,.619,106.531,68.008,696.703,775.32764,2.7509999,.866,1.2944306,146.817,1
5,2011,550.816,.523,106.986,80.456,744.071,899.83234,1.919,.94099998,1.3005311,149.785,1
5,2012,603.044,.347,116.023,89.425,830.796,1076.6573,2.5710001,.50099999,1.4102477,161.742,1
5,2013,645.6609999999999,.136,130.352,86.548,867.683,1507.6074,3.069,.47799999,2.0541203,163.15601,1
5,2014,704.773,.374,144.413,106.542,919.451,1746.1102,3.487,.49900001,2.2231772,175.77,1
5,2015,742.9349999999999,1.196,148.614,105.273,976.256,2122.7141,4.29,.50599998,2.5496755,185.20599,1
5,2016,790.487,1.235,152.424,121.225,992.7809999999999,2223.7322,4.8699999,.52499998,2.4948597,186.26199,1
5,2017,867.228,.904,158.358,125.349,1084.224,2450.4519,5.677,.67400002,2.5236361,206.565,1
5,2018,932.013,.753,157.224,123.367,1138.265,2829.791,5.1760001,.62300003,2.7528007,219.71201,1
5,2019,1019.339,.718,165.501,147.499,1186.487,3627.8401,5.9380002,.64499998,3.1819003,226.862,1
6,1999,12.465,1.387,.6830000000000001,-1.078,21.478,26.208,.398,0,1.9441637,3.207,3
6,2000,13.413,.949,1.104,2.731,25.521,42.331501,.43900001,0,3.0735481,5.0279999,3
6,2001,11.4,.764,.437,-.29,21.117,16.704201,.588,0,1.3596667,3.997,3
6,2002,10.545,3.067,.743,.331,22.02,5.301127,.54100001,0,.31399971,4.105,3
6,2003,11.072,2.72,1.302,.752,26.209,11.54555,.58999997,0,.78536397,3.9230001,3
6,2004,10.282,2.749,1.2,-.442,28.642,13.85466,.634,0,1.0085256,4.0650001,3
6,2005,11.83,3.315,1.173,.273,35.64,9.7768698,.71899998,0,.50878024,4.6300001,3
6,2006,13.146,4.304,1.462,.248,44.083,12.47902,.82300001,0,.65404075,4.9499998,3
6,2007,36.859,13.489,1.51,-4.281,62.967,49.822498,1.443,0,1.2977157,8.283,3
6,2008,31.344,11.715,4.139,-.989,105.219,16.7178,2.5847001,0,.47118428,7.2572999,3
6,2009,31.656,11.605,1.51,1.318,85.37,13.90824,2.6359999,0,.37327015,8.118,3
6,2010,30.26,3.317,.702,-1.798,82.568,42.740082,1.804,0,1.158694,9.2919998,3
6,2011,27.648,2.502,6.449,6.647,149.627,90.865082,2.227,0,3.0323019,12.606,3
6,2012,26.115,5.426,2.402,.186,127.877,66.115677,4.6609998,0,2.345881,16.964001,3
6,2013,24.904,4.141,-.152,.33,108.542,27.152479,3.3800001,0,1.0034324,16.278,3
6,2014,18.909,3.92,.101,-.085,70.743,14.93158,2.277,0,.70688987,10.274,3
6,2015,16.154,2.317,-1.424,.149,60.918,4.0576801,1.571,0,.29006314,9.5780001,3
6,2016,12.913,.001,-1.862,.191,48.327,33.363441,.94700003,0,2.2637992,9.224,3
6,2017,13.315,0,2.305,.248,61.995,25.066244,.86500001,0,1.4820311,8.118,3
6,2018,13.018,0,2.176,.375,54.056,12.382348,.41600001,0,.42966259,7.0879998,3
6,2019,27.003,11,3.847,-.543,82.024,36.347401,.39300001,0,1.2519127,12.016,3
7,1990,76.137,2.1,15.8,6.166,293.967,85.735001,21.436001,0,.85530031,44.934998,3
7,1991,113.567,0,22.84,-10.272,426.689,355.888,31.542,0,2.6854455,68.261002,3
7,1992,128.121,0,12.406,6.848,503.901,111.23038,39.617001,0,.47681001,90.592003,3
7,1993,149.782,0,19.943,13.787,552.3680000000001,146.48625,41.701,0,.60324502,107.236,3
7,1995,227.729,0,33.348,11.718,889.206,154.48387,58.785999,0,.3532351,132.28,3
7,1996,246.015,0,-.066,16.582,925.7140000000001,108.44,60.665001,0,.17411134,163.108,3
7,1997,236.062,0,-8.994,6.131,890.524,101.84875,60.576,0,.2053899,181.2,3
7,1998,250.858,0,-1.878,2.484,928.49,83.71875,54.145,0,.2046925,187.00999,3
7,1999,226.09,56.504,-11.928,-58.349,915.508,125.1795,46.012001,0,.51704854,202.136,3
7,2000,220.116,34.358,2.665,11.228,860.543,159.341,54.099998,0,.6091243,189.772,3
7,2002,170.405,50.099,15.988,-30.798,749.97,48.56773,46.099998,0,.17712937,151.18001,3
8,1990,1.374,0,-.007,.001,2.235,1.051,.0089999996,.28,.082241632,1.38,1
